frame_id,kp_name,kp_index,x_2d,y_2d
40,right_shoulder,6,811.3325,899.8856
40,left_elbow,7,NaN,NaN
40,right_elbow,8,NaN,NaN
40,left_wrist,9,NaN,NaN
40,right_wrist,10,NaN,NaN
40,left_hip,11,NaN,NaN
40,right_hip,12,NaN,NaN
40,left_knee,13,NaN,NaN
40,right_knee,14,NaN,NaN
40,left_ankle,15,NaN,NaN
40,right_ankle,16,NaN,NaN
41,nose,0,920.9373,593.5317
41,left_eye,1,1043.5669,479.22104
41,right_eye,2,867.9126,497.40677
41,left_ear,3,1265.6794,523.99225
41,right_ear,4,NaN,NaN
41,left_shoulder,5,NaN,NaN
41,right_shoulder,6,810.4591,898.3841
41,left_elbow,7,NaN,NaN
41,right_elbow,8,NaN,NaN
41,left_wrist,9,NaN,NaN
41,right_wrist,10,NaN,NaN
41,left_hip,11,NaN,NaN
41,right_hip,12,NaN,NaN
41,left_knee,13,NaN,NaN
41,right_knee,14,NaN,NaN
41,left_ankle,15,NaN,NaN
41,right_ankle,16,NaN,NaN
42,nose,0,913.50323,588.5025
42,left_eye,1,1037.2009,478.09003
42,right_eye,2,863.1174,495.74933
42,left_ear,3,1261.7561,527.90076
42,right_ear,4,NaN,NaN
42,left_shoulder,5,NaN,NaN
42,right_shoulder,6,805.5643,895.81
42,left_elbow,7,NaN,NaN
42,right_elbow,8,NaN,NaN
42,left_wrist,9,NaN,NaN
42,right_wrist,10,NaN,NaN
42,left_hip,11,NaN,NaN
42,right_hip,12,NaN,NaN
42,left_knee,13,NaN,NaN
42,right_knee,14,NaN,NaN
42,left_ankle,15,NaN,NaN
42,right_ankle,16,NaN,NaN
43,nose,0,907.98175,588.8993
43,left_eye,1,1031.0488,477.42102
43,right_eye,2,858.5875,495.91946
43,left_ear,3,1259.1116,522.92017
43,right_ear,4,NaN,NaN
43,left_shoulder,5,NaN,NaN
43,right_shoulder,6,797.72485,895.29065
43,left_elbow,7,NaN,NaN
43,right_elbow,8,NaN,NaN
43,left_wrist,9,NaN,NaN
43,right_wrist,10,NaN,NaN
43,left_hip,11,NaN,NaN
43,right_hip,12,NaN,NaN
43,left_knee,13,NaN,NaN
43,right_knee,14,NaN,NaN
43,left_ankle,15,NaN,NaN
43,right_ankle,16,NaN,NaN
44,nose,0,904.2289,588.56213
44,left_eye,1,1025.9946,477.00626
44,right_eye,2,854.3354,496.13647
44,left_ear,3,1252.6833,520.62823
44,right_ear,4,NaN,NaN
44,left_shoulder,5,NaN,NaN
44,right_shoulder,6,794.1906,895.40216
44,left_elbow,7,NaN,NaN
44,right_elbow,8,NaN,NaN
44,left_wrist,9,NaN,NaN
44,right_wrist,10,NaN,NaN
44,left_hip,11,NaN,NaN
44,right_hip,12,NaN,NaN
44,left_knee,13,NaN,NaN
44,right_knee,14,NaN,NaN
44,left_ankle,15,NaN,NaN
44,right_ankle,16,NaN,NaN
